,Doc0,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,
schedul,0,0,3,0,0,0,0,0
score,0,0,2,0,0,0,0,0
search,0,0,1,0,0,0,0,0
similar,0,0,1,0,0,0,0,0
site,2,2,0,2,2,0,0,0
smu,0,0,1,0,0,0,0,0
softwar,0,0,0,0,1,0,0,0
sole,1,1,0,1,0,0,0,0
soundex,0,0,1,0,0,0,0,0
southern,1,1,0,1,0,0,0,0
space,0,0,2,0,0,0,0,0
sparentnodeinsertbeforega,0,0,0,0,1,0,0,0
spell,0,0,1,0,0,0,0,0
split,0,0,0,0,1,0,0,0
spring,3,1,1,2,0,0,0,0
statu,0,0,1,0,0,0,0,0
stem,0,0,0,0,9,0,0,0
stemmedjoin,0,0,0,0,1,0,0,0
stemmedpushstem,0,0,0,0,1,0,0,0
stemmer,0,0,1,0,1,0,0,0
stemmerwordlistix,0,0,0,0,1,0,0,0
stop,0,0,0,0,1,0,0,0
strength,0,0,0,0,2,0,0,0
string,0,0,0,0,0,3,0,0
student,0,0,1,0,0,0,0,0
syllabu,2,2,0,2,0,0,0,0
system,0,1,0,0,0,0,0,0
taught,0,0,0,0,1,0,0,0
tcharatj1,0,0,0,0,0,1,0,0
tell,0,0,0,0,1,0,0,0
temptat,0,0,0,0,2,0,0,0
tent,0,0,0,1,0,0,0,0
term,0,0,1,0,0,0,0,0
terribl,0,0,0,0,1,0,0,0
test,0,0,0,0,3,0,0,0
testreplace\sg,0,0,0,0,1,0,0,0
testreplace\wg,0,0,0,0,1,0,0,0
testsplit,0,0,0,0,1,0,0,0
text,0,0,3,0,0,0,0,0
textareaoverlapoverlaystemmedwidth600pxheight300pxoverflowyscrollfontfamilymonospac,0,0,0,0,1,0,0,0
textfil,0,0,1,0,0,0,0,0
textjavascript,0,0,0,0,1,0,0,0
there,0,0,0,0,1,0,0,0
think,0,0,0,0,1,0,0,0
time,0,0,1,0,0,0,0,0
topic,0,0,1,0,1,0,0,0
true,0,0,0,0,1,0,0,0
tth,1,0,0,0,0,0,0,0
tuesday,0,0,1,0,0,0,0,0
tuesdaythursday,0,0,0,1,0,0,0,0
ua87596654,0,0,0,0,1,0,0,0
univers,1,1,1,1,0,0,0,0
up,0,0,1,0,0,0,0,0
use,0,0,2,0,0,0,0,0
user,0,0,1,0,0,0,0,0
var,0,0,0,0,4,3,0,0
vector,0,0,2,0,0,0,0,0
weak,0,0,0,0,1,0,0,0
web,1,1,2,1,0,0,0,0
which,0,0,0,0,1,0,0,0
whitespac,0,0,0,0,1,0,0,0
wild,0,0,0,0,1,0,0,0
wildcard,0,0,1,0,0,0,0,0
word,0,0,0,0,2,0,0,0
wordlist,0,0,1,0,3,0,0,0
yield,0,0,0,0,2,0,0,0
you,0,0,0,0,2,0,0,0
